"district","PVI","incumbent","clinton_vote","clinton_pct","trump_vote","trump_pct"
"NV-02","R+7","Mark Amodei (R)","129317","39.7%","169631","52.0%"
"NV-03","R+2","Susie Lee (D)","151552","46.5%","154813","47.5%"
"NV-04","D+3","Steven Horsford (D)","137070","49.5%","123380","44.6%"
"NY-01","R+5","Lee Zeldin (R)","141900","41.8%","183233","54.0%"
"NY-02","R+3","Peter King (R)","137680","43.7%","165908","52.6%"
"NY-03","D+1","Tom Suozzi (D)","178288","51.2%","156942","45.1%"
"NY-04","D+4","Kathleen Rice (D)","179845","53.0%","147469","43.4%"
"NY-05","D+37","Gregory Meeks (D)","211667","85.4%","31322","12.6%"
"NY-06","D+16","Grace Meng (D)","134970","64.7%","66487","31.9%"
"NY-07","D+38","Nydia Velazquez (D)","177664","86.4%","21198","10.3%"
"NY-08","D+36","Hakeem Jeffries (D)","215689","84.2%","34356","13.4%"
"NY-09","D+34","Yvette Clarke (D)","211812","82.9%","36600","14.3%"
"NY-10","D+26","Jerrold Nadler (D)","205114","77.5%","49179","18.6%"
"NY-11","R+3","Max Rose (D)","108807","43.5%","133232","53.3%"
"NY-12","D+31","Carolyn Maloney (D)","255601","82.4%","41383","13.3%"
"NY-13","D+43","Adriano Espaillat (D)","232925","91.8%","13727","5.4%"
"NY-14","D+29","Alexandria Ocasio-Cortez (D)","151407","77.3%","38560","19.7%"
"NY-15","D+44","Jose E. Serrano (D)","179454","93.5%","9371","4.9%"
"NY-16","D+24","Eliot Engel (D)","212644","74.5%","63590","22.3%"
"NY-17","D+7","Nita Lowey (D)","186437","58.0%","122339","38.1%"
"NY-18","R+1","Sean Patrick Maloney (D)","145502","46.6%","151895","48.7%"
"NY-19","R+2","Antonio Delgado (D)","140300","43.5%","162184","50.2%"
"NY-20","D+7","Paul Tonko (D)","175390","53.3%","131559","40.0%"
"NY-21","R+4","Elise Stefanik (R)","111760","39.4%","150481","53.1%"
"NY-22","R+6","Anthony Brindisi (D)","114016","38.9%","158913","54.2%"
"NY-23","R+6","Tom Reed (R)","115003","39.2%","158148","53.9%"
"NY-24","D+3","John Katko (R)","151021","48.6%","139763","45.0%"
"NY-25","D+8","Joe Morelle (D)","182896","54.9%","128955","38.7%"
"NY-26","D+11","Brian Higgins (D)","175336","57.5%","115558","37.9%"
"NY-27","R+11","Chris Collins (R)","122091","35.0%","206854","59.3%"
"OH-01","R+5","Steve Chabot (R)","160988","44.5%","185025","51.1%"
"OH-02","R+9","Brad Wenstrup (R)","140785","39.5%","197855","55.6%"
"OH-03","D+19","Joyce Beatty (D)","211339","67.2%","89090","28.3%"
"OH-04","R+14","Jim Jordan (R)","99628","30.5%","208736","63.9%"
"OH-05","R+11","Bob Latta (R)","124405","34.4%","214661","59.3%"
"OH-06","R+16","Bill Johnson (R)","85501","26.5%","221873","68.9%"
"OH-07","R+12","Bob Gibbs (R)","107943","32.7%","205570","62.4%"
"OH-08","R+17","Warren Davidson (R)","104929","30.4%","223215","64.7%"
"OH-09","D+14","Marcy Kaptur (D)","177146","58.7%","110177","36.5%"
"OH-10","R+4","Mike Turner (R)","153345","43.8%","178674","51.0%"
"OH-11","D+32","Marcia Fudge (D)","260308","80.5%","55015","17.0%"
"OH-12","R+7","Troy Balderson (R)","161741","41.6%","206191","53.1%"
"OH-13","D+7","Tim Ryan (D)","163601","51.1%","142738","44.6%"
